Date,P.therm,Temp,SN,War,COban,Pban
01/01/2018,53,6.63,6.231,0,0,0
02/01/2018,52,7.79,5.438,0,0,0
03/01/2018,52.1,9.04,4.553,0,0,0
04/01/2018,52.4,8.38,4.292,0,0,0
05/01/2018,52.5,6.13,5.278,0,0,0
06/01/2018,52.5,3.38,4.872,0,0,0
07/01/2018,52.5,3.33,6.239,0,0,0
08/01/2018,52.7,4.46,6.788,0,0,0
09/01/2018,53.125,5.5,6.272,0,0,0
10/01/2018,52.85,7.38,5.431,0,0,0
11/01/2018,52.65,6.21,5.918,0,0,0
12/01/2018,53.15,6.67,6.254,0,0,0
13/01/2018,53.15,6.08,5.731,0,0,0
14/01/2018,53.15,5.04,4.292,0,0,0
15/01/2018,52.05,8.33,5.975,0,0,0
16/01/2018,51.1,5.71,5.158,0,0,0
17/01/2018,49.9,5.17,4.439,0,0,0
18/01/2018,50.33,7.63,5.034,0,0,0
19/01/2018,49.4,3.54,4.835,0,0,0
20/01/2018,49.4,3.58,3.983,0,0,0
21/01/2018,49.4,4.17,4.265,0,0,0
22/01/2018,49.35,8.92,5.084,0,0,0
23/01/2018,48.65,10.75,5.07,0,0,0
24/01/2018,48.5,9.92,5.487,0,0,0
25/01/2018,47.9,7.25,6.026,0,0,0
26/01/2018,47.25,5.63,5.568,0,0,0
27/01/2018,47.25,7.63,5.438,0,0,0
28/01/2018,47.25,11.54,5.504,0,0,0
29/01/2018,46.9,9.83,5.564,0,0,0
30/01/2018,46.8,4.67,4.592,0,0,0
31/01/2018,48.75,6.58,4.589,0,0,0
01/02/2018,50.15,5.38,5.034,0,0,0
02/02/2018,50.8,5.63,4.404,0,0,0
03/02/2018,50.8,3.88,4.45,0,0,0
04/02/2018,50.8,3.21,5.814,0,0,0
05/02/2018,49.85,2.5,6.321,0,0,0
06/02/2018,51.15,1.67,5.717,0,0,0
07/02/2018,51.1,2.08,5.067,0,0,0
08/02/2018,49.9,3.33,4.401,0,0,0
09/02/2018,50.15,4.67,4.376,0,0,0
10/02/2018,50.15,4.58,4.121,0,0,0
11/02/2018,50.15,4.67,3.422,0,0,0
12/02/2018,50.8,2.92,3.76,0,0,0
13/02/2018,51.9,4.21,4.777,0,0,0
14/02/2018,50,3.38,5.527,0,0,0
15/02/2018,49.15,7.29,5.96,0,0,0
16/02/2018,50.55,4.67,5.649,0,0,0
17/02/2018,50.55,5.54,6.074,0,0,0
18/02/2018,50.55,6.04,5.65,0,0,0
19/02/2018,54.25,8.83,5.535,0,0,0
20/02/2018,57,8.33,6.206,0,0,0
21/02/2018,59.15,4.71,7.097,0,0,0
22/02/2018,61.35,2.96,7.189,0,0,0
23/02/2018,72.5,1.71,7.538,0,0,0
24/02/2018,72.5,2.08,7.625,0,0,0
25/02/2018,72.5,1.46,7.438,0,0,0
26/02/2018,66,-0.25,7.367,0,0,0
27/02/2018,89,-2.38,6.551,0,0,0
28/02/2018,120,-4.08,6.313,0,0,0
01/03/2018,230,-2.5,7.653333333,0,0,0
02/03/2018,78,-0.75,7.001,0,0,0
03/03/2018,78,2.38,6.238,0,0,0
04/03/2018,78,6.25,5.851,0,0,0
05/03/2018,54.45,7.21,5.2,0,0,0
06/03/2018,52.75,7.04,5.425,0,0,0
07/03/2018,51.1,6.33,6.501,0,0,0
08/03/2018,51.9,6.92,7.185,0,0,0
09/03/2018,53.8,6.67,7.415,0,0,0
10/03/2018,53.8,10.71,8.208,0,0,0
11/03/2018,53.8,8.88,7.559,0,0,0
12/03/2018,69.5,8.79,7.403,0,0,0
13/03/2018,66.35,7.71,7.934,0,0,0
14/03/2018,59,8.5,7.764,0,0,0
15/03/2018,64.5,9.75,7.755,0,0,0
16/03/2018,55.5,9.58,8.805,0,0,0
17/03/2018,55.5,0.96,8.383,0,0,0
18/03/2018,55.5,-0.46,7.605,0,0,0
19/03/2018,54.65,1.33,7.589,0,0,0
20/03/2018,56.8,4.63,7.779,0,0,0
21/03/2018,56,5.38,8.296,0,0,0
22/03/2018,54,7.46,8.009,0,0,0
23/03/2018,51.5,8.92,7.55,0,0,0
24/03/2018,51.5,7.88,7.293,0,0,0
25/03/2018,51.5,9.09,7.457,0,0,0
26/03/2018,48.4,8.63,7.89,0,0,0
27/03/2018,49.7,9.13,7.971,0,0,0
28/03/2018,49.3,5.83,7.791,0,0,0
29/03/2018,51.5,4.75,8.75,0,0,0
30/03/2018,51.5,5.5,9.46,0,0,0
31/03/2018,51.5,5.71,9.788,0,0,0
01/04/2018,51.5,5.67,9.406,0,0,0
02/04/2018,51.5,8.29,9.042,0,0,0
03/04/2018,48.9,11,9.993,0,0,0
