"","Date","Temp","SN","War","Weekday","Month","Year"
"1551",2024-03-30,3.74,9.759,1,"Saturday","03","2024"
"1552",2024-03-31,4.38,9.2,1,"Sunday","03","2024"
"1553",2024-04-01,4.1,7.998,1,"Monday","04","2024"
"1554",2024-04-02,4.69,8.794,1,"Tuesday","04","2024"
"1555",2024-04-03,9.61,8.884,1,"Wednesday","04","2024"
"1556",2024-04-04,11.99,8.523,1,"Thursday","04","2024"
"1557",2024-04-05,10.95,8.989,1,"Friday","04","2024"
"1558",2024-04-06,9.73,9.021,1,"Saturday","04","2024"
"1559",2024-04-07,6.83,9.256,1,"Sunday","04","2024"
"1560",2024-04-08,7.09,10.206,1,"Monday","04","2024"
"1561",2024-04-09,7.75,10.378,1,"Tuesday","04","2024"
"1562",2024-04-10,11.82,10.082,1,"Wednesday","04","2024"
"1563",2024-04-11,13.45,9.881,1,"Thursday","04","2024"
"1564",2024-04-12,13.72,9.683,1,"Friday","04","2024"
"1565",2024-04-13,13.26,9.105,1,"Saturday","04","2024"
"1566",2024-04-14,15.12,10.417,1,"Sunday","04","2024"
"1567",2024-04-15,13.76,10.246,1,"Monday","04","2024"
"1568",2024-04-16,13.06,9.843,1,"Tuesday","04","2024"
"1569",2024-04-17,12.55,10.547,1,"Wednesday","04","2024"
"1570",2024-04-18,11.81,10.534,1,"Thursday","04","2024"
"1571",2024-04-19,12.33,11.287,1,"Friday","04","2024"
"1572",2024-04-20,12.73,11.532,1,"Saturday","04","2024"
"1573",2024-04-21,11.77,11.934,1,"Sunday","04","2024"
"1574",2024-04-22,12.93,11.792,1,"Monday","04","2024"
"1575",2024-04-23,12.71,11.527,1,"Tuesday","04","2024"
"1576",2024-04-24,9.79,11.787,1,"Wednesday","04","2024"
"1577",2024-04-25,10.45,10.483,1,"Thursday","04","2024"
"1578",2024-04-26,9.13,9.579,1,"Friday","04","2024"
"1579",2024-04-27,10.2,9.231,1,"Saturday","04","2024"
"1580",2024-04-28,8.99,9.098,1,"Sunday","04","2024"
"1581",2024-04-29,10.95,9.592,1,"Monday","04","2024"
